state,total,number,standard error,percent,standard error
Alabama,4501.0,750.0,59.0,16.7,1.3
Alaska,657.0,66.0,7.0,10.0,1.1
Arizona,6025.0,917.0,71.0,15.2,1.2
Arkansas,2756.0,382.0,34.0,13.8,1.3
California,35840.0,4716.0,164.0,13.2,0.5
Colorado,4629.0,530.0,55.0,11.4,1.2
Connecticut,3483.0,326.0,37.0,9.3,1.1
Delaware,842.0,78.0,9.0,9.2,1.1
D.C.,539.0,115.0,9.0,21.3,1.7
Florida,17845.0,1975.0,102.0,11.1,0.6
Georgia,9014.0,1298.0,80.0,14.4,0.9
Hawaii,1274.0,110.0,12.0,8.6,1.0
Idaho,1441.0,143.0,16.0,9.9,1.1
Illinois,12571.0,1441.0,87.0,11.5,0.7
Indiana,6131.0,774.0,62.0,12.6,1.0
Iowa,2902.0,327.0,34.0,11.3,1.2
Kansas,2693.0,337.0,34.0,12.5,1.3
Kentucky,4049.0,599.0,53.0,14.8,1.3
Louisiana,4086.0,748.0,58.0,18.3,1.4
Maine,1314.0,166.0,17.0,12.6,1.3
Maryland,5560.0,542.0,54.0,9.7,1.0
Massachusetts,6318.0,641.0,57.0,10.1,0.9
Michigan,9964.0,1196.0,78.0,12.0,0.8
Minnesota,5113.0,412.0,46.0,8.1,0.9
Mississippi,2843.0,571.0,41.0,20.1,1.5
Missouri,5697.0,659.0,58.0,11.6,1.0
Montana,926.0,128.0,12.0,13.8,1.3
Nebraska,1760.0,167.0,19.0,9.5,1.1
Nevada,2447.0,260.0,29.0,10.6,1.2
New Hampshire,1298.0,73.0,11.0,5.6,0.9
New Jersey,8692.0,592.0,57.0,6.8,0.7
New Mexico,1938.0,347.0,29.0,17.9,1.5
New York,18995.0,2760.0,121.0,14.5,0.6
North Carolina,8538.0,1115.0,75.0,13.1,0.9
North Dakota,625.0,70.0,7.0,11.2,1.2
Ohio,11310.0,1392.0,84.0,12.3,0.7
Oklahoma,3486.0,543.0,47.0,15.6,1.4
Oregon,3619.0,436.0,45.0,12.0,1.3
Pennsylvania,12237.0,1372.0,84.0,11.2,0.7
Rhode Island,1052.0,127.0,13.0,12.1,1.3
South Carolina,4164.0,626.0,55.0,15.0,1.3
South Dakota,765.0,90.0,8.0,11.8,1.1
Tennessee,5853.0,872.0,65.0,14.9,1.1
Texas,22777.0,3681.0,144.0,16.2,0.6
Utah,2521.0,232.0,24.0,9.2,1.0
Vermont,621.0,47.0,6.0,7.6,1.0
Virginia,7442.0,684.0,60.0,9.2,0.8
Washington,6237.0,636.0,59.0,10.2,0.9
West Virginia,1795.0,276.0,22.0,15.4,1.2
Wisconsin,5440.0,553.0,54.0,10.2,1.0
Wyoming,509.0,54.0,6.0,10.6,1.2
